This file was created by CMPT_ME_BEME_RETS using the 201911 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

,Mkt-RF,SMB,HML,RF
192607,    2.96,   -2.30,   -2.87,    0.22
192608,    2.64,   -1.40,    4.19,    0.25
192609,    0.36,   -1.32,    0.01,    0.23
192610,   -3.24,    0.04,    0.51,    0.32
192611,    2.53,   -0.20,   -0.35,    0.31
192612,    2.62,   -0.04,   -0.02,    0.28
192701,   -0.06,   -0.56,    4.83,    0.25
192702,    4.18,   -0.10,    3.17,    0.26
192703,    0.13,   -1.60,   -2.67,    0.30
192704,    0.46,    0.43,    0.60,    0.25
192705,    5.44,    1.41,    4.93,    0.30
192706,   -2.34,    0.47,   -1.53,    0.26
192707,    7.26,   -3.23,   -1.16,    0.30
192708,    1.97,   -0.72,   -3.69,    0.28
192709,    4.76,   -3.57,   -0.71,    0.21
192710,   -4.31,    2.13,   -4.33,    0.25
192711,    6.58,    2.76,   -0.31,    0.21
192712,    2.09,    0.93,   -1.06,    0.22
192801,   -0.68,    4.25,   -0.72,    0.25
192802,   -1.70,   -2.03,   -0.69,    0.33
192803,    8.81,   -0.26,   -1.20,    0.29
192804,    4.23,    3.82,    3.67,    0.22
192805,    1.52,    2.98,   -3.46,    0.32
192806,   -4.85,   -3.50,   -0.06,    0.31
192807,    0.62,   -1.35,   -0.47,    0.32
192808,    6.68,   -2.07,   -2.11,    0.32
192809,    2.88,    2.18,    0.76,    0.27
192810,    1.33,    2.27,   -2.26,    0.41
192811,   11.81,   -1.81,    2.80,    0.38
192812,    0.36,   -0.85,   -0.60,    0.06
192901,    4.66,   -3.54,   -1.21,    0.34
192902,   -0.34,   -0.39,    1.68,    0.36
192903,   -0.89,   -4.78,    1.56,    0.34
192904,    1.43,   -0.99,    0.61,    0.36
192905,   -6.39,   -5.46,   -1.57,    0.44
192906,    9.70,   -2.17,   -2.76,    0.52
192907,    4.46,   -3.88,    2.66,    0.33
192908,    8.18,   -9.52,    0.06,    0.40
192909,   -5.47,    1.17,   -0.63,    0.35
192910,  -20.12,   -4.08,    7.85,    0.46
192911,  -12.74,   -1.91,    5.33,    0.37
192912,    1.33,   -4.20,   -0.59,    0.37
193001,    5.61,    3.58,   -1.01,    0.14
193002,    2.50,    0.12,    0.39,    0.30
193003,    7.10,    3.44,    0.15,    0.35
193004,   -2.06,   -0.17,   -0.84,    0.21
193005,   -1.66,   -2.04,   -0.63,    0.26
193006,  -16.27,   -3.22,    2.00,    0.27
193007,    4.12,   -0.37,   -1.56,    0.20
193008,    0.30,   -2.22,   -0.78,    0.09
